Id,ActivityDate,TotalSteps,TotalDistance,DailyIntensity,activity_duration,intense_activity_duration,idle_duration,Calories
8053475328,2016-04-14,20159,15.9700002670288,560,317,119,1123,3411
8053475328,2016-04-20,15108,12.1899995803833,435,252,89,695,3043
8053475328,2016-04-26,12685,9.61999988555908,399,258,68,1182,2846
8053475328,2016-04-16,14549,11.1099996566772,383,185,96,1255,2867
8053475328,2016-04-18,17076,12.6599998474121,513,303,102,1137,3133
8053475328,2016-04-21,16057,12.5100002288818,482,276,100,1164,3103
8053475328,2016-04-12,18060,14.1199998855591,487,247,116,1193,3186
8053475328,2016-04-15,20669,16.2399997711182,570,298,132,1142,3410
8053475328,2016-05-04,14581,11.1499996185303,406,220,89,1220,2918
8053475328,2016-04-25,20500,15.6899995803833,581,336,118,1104,3403
8053475328,2016-05-05,14990,11.5100002288818,427,232,93,1208,2950
8053475328,2016-05-10,14810,11.3599996566772,423,221,96,1219,2926
8053475328,2016-04-13,16433,13.3500003814697,465,263,95,1177,3140
8053475328,2016-04-23,22359,17.1900005340576,626,362,125,741,3554
8053475328,2016-05-08,22026,17.6499996185303,631,367,125,1073,3589
8053475328,2016-05-07,19769,15.6700000762939,551,289,121,1076,3331
8053475328,2016-04-17,18827,13.6899995803833,570,327,111,1113,3213
8053475328,2016-05-03,15484,11.8999996185303,470,274,87,1166,3023
8053475328,2016-04-24,22988,17.9500007629395,635,344,129,1096,3577
1644430081,2016-04-16,15300,11.1199998855591,449,305,51,1135,3493
1503960366,2016-04-24,10039,6.40999984741211,365,282,39,709,1788
1503960366,2016-04-27,18134,12.210000038147,499,332,78,1108,2159
1503960366,2016-04-25,15355,9.80000019073486,463,303,73,814,2013
1503960366,2016-04-30,14673,9.25,441,303,52,712,1947
1503960366,2016-05-07,11992,7.71000003814697,378,258,37,833,1821
8877689391,2016-05-05,14055,10.6700000762939,419,270,67,1170,3052
4388161847,2016-04-22,12139,9.34000015258789,501,322,77,945,3544
4388161847,2016-05-08,17298,14.3800001144409,575,323,107,576,3934
6775888955,2016-04-20,10771,7.71999979019165,614,361,70,1079,3727
5553957443,2016-04-28,11393,7.63000011444092,338,227,49,727,1999
5553957443,2016-04-26,11886,7.76000022888184,394,296,40,750,2093
5553957443,2016-05-09,11611,7.57999992370605,472,332,59,667,2272
5553957443,2016-04-19,15482,10.1099996566772,512,346,69,756,2284
5553957443,2016-04-21,12346,8.0600004196167,402,266,47,801,2066
5553957443,2016-04-25,10946,7.19000005722046,376,263,51,732,2033
7086361926,2016-04-19,10688,7.28999996185303,463,260,67,671,2944
7086361926,2016-04-28,11584,7.80000019073486,419,263,54,810,2862
7086361926,2016-05-09,13566,9.10999965667725,472,288,67,743,2960
7086361926,2016-04-12,11317,8.40999984741211,342,218,59,745,2772
7086361926,2016-04-20,14365,10.6400003433228,432,245,87,797,2997
7086361926,2016-05-10,14433,10.789999961853,368,201,72,1182,2800
7086361926,2016-04-26,10387,7.07000017166138,408,235,70,726,2781
7086361926,2016-05-06,12461,8.38000011444092,476,273,84,834,2924
7086361926,2016-05-03,10288,6.76000022888184,395,245,57,761,2754
7086361926,2016-05-11,9572,6.51999998092651,379,225,57,757,2735
7086361926,2016-04-25,10091,6.82000017166138,414,237,69,706,2752
2873212765,2016-04-16,9685,6.65000009536743,448,353,47,1087,2148
2873212765,2016-05-07,4940,3.38000011444092,299,138,75,1302,1897
5577150313,2016-05-09,3421,2.55999994277954,194,115,34,1099,2489
5577150313,2016-04-12,8135,6.07999992370605,430,242,86,728,3405
5577150313,2016-04-20,8330,6.21999979019165,406,216,87,773,3192
5577150313,2016-04-27,6805,5.1399998664856,411,269,63,773,3294
5577150313,2016-05-02,7439,5.55999994277954,386,292,37,732,3014
5577150313,2016-04-19,12574,9.42000007629395,481,242,108,733,3501
5577150313,2016-04-14,8596,6.42000007629395,590,324,118,662,4022
5577150313,2016-04-22,9172,6.84999990463257,446,292,62,823,3329
5577150313,2016-04-18,9893,7.3899998664856,536,276,114,623,3625
